Geneid	cond_1v2_log2FC	cond_1v2_Padj	cond_1v2_Sig	cond_1v3_log2FC	cond_1v3_Padj	cond_1v3_Sig	cond_2v3_log2FC	cond_2v3_Padj	cond_2v3_Sig
Glyma.02G028200.Wm82.a4.v1	-0.38 	0.92  	FALSE	-0.6  	0.24  	FALSE	-0.21 	0.99  	FALSE
Glyma.02G028600.Wm82.a4.v1	-0.22 	1     	FALSE	-0.44 	0.68  	FALSE	-0.22 	0.99  	FALSE
Glyma.02G028633.Wm82.a4.v1	-0.018	NA    	NA	-0.057	NA    	NA	-0.039	NA    	NA
Glyma.02G028700.Wm82.a4.v1	-0.26 	1     	FALSE	-0.66 	0.12  	FALSE	-0.4  	0.99  	FALSE
Glyma.02G028800.Wm82.a4.v1	-0.32 	1     	FALSE	-0.26 	0.96  	FALSE	0.062 	1     	FALSE
Glyma.02G029100.Wm82.a4.v1	0.014 	NA    	NA	0.0097	NA    	NA	-0.0045	NA    	NA
Glyma.02G029200.Wm82.a4.v1	0.083 	1     	FALSE	0.095 	0.99  	FALSE	0.012 	1     	FALSE
Glyma.02G029300.Wm82.a4.v1	-0.035	1     	FALSE	-0.11 	0.98  	FALSE	-0.07 	0.99  	FALSE
Glyma.02G029400.Wm82.a4.v1	0.061 	1     	FALSE	-0.22 	0.97  	FALSE	-0.28 	0.99  	FALSE
Glyma.02G029600.Wm82.a4.v1	-0.15 	1     	FALSE	0.025 	0.99  	FALSE	0.17  	0.99  	FALSE
Glyma.02G029750.Wm82.a4.v1	0.025 	NA    	NA	-0.0072	NA    	NA	-0.033	NA    	NA
Glyma.02G029800.Wm82.a4.v1	-0.064	1     	FALSE	-0.1  	0.99  	FALSE	-0.039	1     	FALSE
Glyma.02G029900.Wm82.a4.v1	0.0081	NA    	NA	0.0058	NA    	NA	0     	NA    	NA
Glyma.02G030000.Wm82.a4.v1	-0.2  	1     	FALSE	-0.082	0.99  	FALSE	0.12  	0.99  	FALSE
Glyma.02G030100.Wm82.a4.v1	0.11  	1     	FALSE	0.089 	0.99  	FALSE	-0.019	1     	FALSE
Glyma.02G030200.Wm82.a4.v1	0.072 	1     	FALSE	-0.33 	0.82  	FALSE	-0.4  	0.99  	FALSE
Glyma.02G030300.Wm82.a4.v1	-0.023	1     	FALSE	0.088 	0.99  	FALSE	0.11  	0.99  	FALSE
Glyma.02G030500.Wm82.a4.v1	-0.12 	1     	FALSE	-0.12 	0.99  	FALSE	-0.0029	1     	FALSE
Glyma.02G030700.Wm82.a4.v1	-0.13 	1     	FALSE	-0.0097	1     	FALSE	0.12  	0.99  	FALSE
Glyma.02G030750.Wm82.a4.v1	-0.011	NA    	NA	0     	NA    	NA	0.0073	NA    	NA
Glyma.02G030800.Wm82.a4.v1	-0.0011	1     	FALSE	0.17  	0.98  	FALSE	0.17  	0.99  	FALSE
Glyma.02G030900.Wm82.a4.v1	-0.15 	1     	FALSE	-0.18 	0.97  	FALSE	-0.029	1     	FALSE
Glyma.02G031000.Wm82.a4.v1	0.16  	1     	FALSE	0.042 	0.99  	FALSE	-0.12 	0.99  	FALSE
Glyma.02G031100.Wm82.a4.v1	-0.02 	NA    	NA	-0.013	NA    	NA	0.0073	NA    	NA
Glyma.02G031200.Wm82.a4.v1	0.0081	NA    	NA	0.0058	NA    	NA	0     	NA    	NA
Glyma.02G031300.Wm82.a4.v1	0.24  	1     	FALSE	0.29  	0.73  	FALSE	0.051 	0.99  	FALSE
Glyma.02G031600.Wm82.a4.v1	-0.058	NA    	NA	0.017 	NA    	NA	0.075 	NA    	NA
Glyma.02G031700.Wm82.a4.v1	-0.11 	1     	FALSE	0.037 	0.99  	FALSE	0.15  	0.99  	FALSE
Glyma.02G031800.Wm82.a4.v1	0.041 	1     	FALSE	0.046 	0.99  	FALSE	0.005 	1     	FALSE
Glyma.02G031900.Wm82.a4.v1	0.067 	1     	FALSE	-0.03 	0.99  	FALSE	-0.097	0.99  	FALSE
Glyma.02G032100.Wm82.a4.v1	0.14  	1     	FALSE	-0.13 	0.99  	FALSE	-0.27 	0.99  	FALSE
Glyma.02G032200.Wm82.a4.v1	-0.15 	1     	FALSE	0.14  	0.99  	FALSE	0.29  	0.99  	FALSE
Glyma.02G032400.Wm82.a4.v1	0.056 	NA    	NA	-0.033	NA    	NA	-0.089	NA    	NA
Glyma.02G032500.Wm82.a4.v1	0.0081	NA    	NA	0.0058	NA    	NA	0     	NA    	NA
Glyma.02G032600.Wm82.a4.v1	-0.24 	1     	FALSE	-0.03 	0.99  	FALSE	0.21  	0.99  	FALSE
Glyma.02G032800.Wm82.a4.v1	0.078 	1     	FALSE	0.21  	0.88  	FALSE	0.13  	0.99  	FALSE
Glyma.02G033001.Wm82.a4.v1	-0.028	NA    	NA	0.052 	NA    	NA	0.08  	NA    	NA
Glyma.02G033100.Wm82.a4.v1	-0.12 	1     	FALSE	0.077 	0.99  	FALSE	0.2   	0.99  	FALSE
Glyma.02G033200.Wm82.a4.v1	0.11  	1     	FALSE	0.029 	0.99  	FALSE	-0.084	1     	FALSE
Glyma.02G033300.Wm82.a4.v1	-0.036	1     	FALSE	0.19  	0.97  	FALSE	0.23  	0.99  	FALSE
Glyma.02G033400.Wm82.a4.v1	-0.013	1     	FALSE	-0.094	0.99  	FALSE	-0.081	1     	FALSE
Glyma.02G033500.Wm82.a4.v1	-0.12 	1     	FALSE	-0.15 	0.98  	FALSE	-0.036	1     	FALSE
Glyma.02G033600.Wm82.a4.v1	0.19  	1     	FALSE	0.19  	0.98  	FALSE	-0.0077	1     	FALSE
Glyma.02G033700.Wm82.a4.v1	0.063 	1     	FALSE	0.43  	0.62  	FALSE	0.37  	0.99  	FALSE
Glyma.02G033800.Wm82.a4.v1	-0.17 	1     	FALSE	0.14  	0.99  	FALSE	0.31  	0.99  	FALSE
Glyma.02G033900.Wm82.a4.v1	0.066 	1     	FALSE	-0.068	0.99  	FALSE	-0.13 	0.99  	FALSE
Glyma.02G034000.Wm82.a4.v1	-0.19 	1     	FALSE	-0.16 	0.98  	FALSE	0.037 	1     	FALSE
Glyma.02G034051.Wm82.a4.v1	-0.12 	1     	FALSE	-0.2  	0.98  	FALSE	-0.081	1     	FALSE
Glyma.02G034100.Wm82.a4.v1	-0.23 	1     	FALSE	-0.03 	0.99  	FALSE	0.2   	0.99  	FALSE
Glyma.02G034200.Wm82.a4.v1	-0.12 	1     	FALSE	0.11  	0.99  	FALSE	0.23  	0.99  	FALSE
Glyma.02G034300.Wm82.a4.v1	-0.11 	1     	FALSE	0.1   	0.99  	FALSE	0.21  	0.99  	FALSE
Glyma.02G034400.Wm82.a4.v1	-0.097	1     	FALSE	-0.092	0.99  	FALSE	0.0056	1     	FALSE
Glyma.02G034500.Wm82.a4.v1	0.21  	1     	FALSE	0.18  	0.98  	FALSE	-0.03 	1     	FALSE
Glyma.02G034600.Wm82.a4.v1	-0.14 	1     	FALSE	-0.3  	0.82  	FALSE	-0.17 	0.99  	FALSE
Glyma.02G034700.Wm82.a4.v1	0.32  	1     	FALSE	0.35  	0.79  	FALSE	0.024 	1     	FALSE
Glyma.02G034800.Wm82.a4.v1	0.15  	1     	FALSE	-0.22 	0.97  	FALSE	-0.38 	0.99  	FALSE
Glyma.02G034900.Wm82.a4.v1	-0.026	1     	FALSE	-0.19 	0.97  	FALSE	-0.17 	0.99  	FALSE
Glyma.02G035000.Wm82.a4.v1	0.17  	1     	FALSE	-0.037	0.99  	FALSE	-0.21 	0.99  	FALSE
Glyma.02G035100.Wm82.a4.v1	-0.011	NA    	NA	0     	NA    	NA	0.0073	NA    	NA
Glyma.02G035200.Wm82.a4.v1	0.14  	1     	FALSE	-0.16 	0.98  	FALSE	-0.3  	0.99  	FALSE
Glyma.02G035300.Wm82.a4.v1	-0.35 	0.52  	FALSE	-0.34 	0.45  	FALSE	0.0097	1     	FALSE
Glyma.02G035400.Wm82.a4.v1	0.048 	1     	FALSE	-0.34 	0.85  	FALSE	-0.39 	0.99  	FALSE
Glyma.02G035501.Wm82.a4.v1	0.022 	1     	FALSE	-0.042	0.99  	FALSE	-0.064	1     	FALSE
Glyma.02G035600.Wm82.a4.v1	0.029 	1     	FALSE	-0.18 	0.97  	FALSE	-0.21 	0.99  	FALSE
Glyma.02G035650.Wm82.a4.v1	-0.13 	1     	FALSE	-0.07 	NA    	NA	0.056 	1     	FALSE
Glyma.02G035700.Wm82.a4.v1	0.077 	NA    	NA	0.092 	NA    	NA	0.015 	NA    	NA
Glyma.02G035800.Wm82.a4.v1	-0.13 	1     	FALSE	-0.063	0.99  	FALSE	0.072 	0.99  	FALSE
Glyma.02G035900.Wm82.a4.v1	0.034 	1     	FALSE	-0.23 	0.97  	FALSE	-0.27 	0.99  	FALSE
Glyma.02G036000.Wm82.a4.v1	0.19  	1     	FALSE	-0.057	0.99  	FALSE	-0.25 	0.99  	FALSE
Glyma.02G036100.Wm82.a4.v1	-0.0093	1     	FALSE	-0.021	1     	FALSE	-0.012	1     	FALSE
Glyma.02G036200.Wm82.a4.v1	-0.0072	1     	FALSE	-0.15 	0.97  	FALSE	-0.14 	0.99  	FALSE
Glyma.02G036300.Wm82.a4.v1	0.16  	1     	FALSE	0.091 	0.99  	FALSE	-0.073	0.99  	FALSE
Glyma.02G036400.Wm82.a4.v1	0.073 	1     	FALSE	-0.049	0.99  	FALSE	-0.12 	0.99  	FALSE
Glyma.02G036500.Wm82.a4.v1	-0.0024	1     	FALSE	0.014 	1     	FALSE	0.016 	1     	FALSE
Glyma.02G036600.Wm82.a4.v1	0.056 	1     	FALSE	0.0053	NA    	NA	-0.051	0.99  	FALSE
Glyma.02G036700.Wm82.a4.v1	0.097 	1     	FALSE	-0.23 	0.97  	FALSE	-0.32 	0.99  	FALSE
Glyma.02G036900.Wm82.a4.v1	0     	1     	FALSE	-0.22 	NA    	NA	-0.22 	0.99  	FALSE
Glyma.02G037000.Wm82.a4.v1	0.094 	1     	FALSE	-0.0044	1     	FALSE	-0.098	0.99  	FALSE
Glyma.02G037100.Wm82.a4.v1	0.075 	1     	FALSE	0.17  	0.97  	FALSE	0.096 	0.99  	FALSE
Glyma.02G037200.Wm82.a4.v1	-0.021	NA    	NA	0     	NA    	NA	0.017 	NA    	NA
Glyma.02G037300.Wm82.a4.v1	0.065 	1     	FALSE	0.097 	0.99  	FALSE	0.032 	1     	FALSE
Glyma.02G037400.Wm82.a4.v1	0.052 	1     	FALSE	0.13  	0.99  	FALSE	0.073 	1     	FALSE
Glyma.02G037500.Wm82.a4.v1	0.025 	1     	FALSE	0.17  	0.98  	FALSE	0.14  	0.99  	FALSE
Glyma.02G037600.Wm82.a4.v1	0.053 	1     	FALSE	-0.031	0.99  	FALSE	-0.083	1     	FALSE
Glyma.02G037700.Wm82.a4.v1	0.031 	1     	FALSE	-0.015	1     	FALSE	-0.046	1     	FALSE
Glyma.02G037900.Wm82.a4.v1	0.056 	1     	FALSE	-0.013	1     	FALSE	-0.069	1     	FALSE
Glyma.02G038000.Wm82.a4.v1	0.2   	1     	FALSE	0.2   	0.97  	FALSE	-0.00035	1     	FALSE
Glyma.02G038100.Wm82.a4.v1	0.025 	1     	FALSE	0.3   	0.83  	FALSE	0.27  	0.99  	FALSE
Glyma.02G038200.Wm82.a4.v1	-0.047	1     	FALSE	-0.28 	0.95  	FALSE	-0.24 	0.99  	FALSE
Glyma.02G038300.Wm82.a4.v1	0.067 	1     	FALSE	-0.07 	0.99  	FALSE	-0.14 	0.99  	FALSE
Glyma.02G038400.Wm82.a4.v1	0.14  	1     	FALSE	0.34  	0.78  	FALSE	0.19  	0.99  	FALSE
Glyma.02G038500.Wm82.a4.v1	0.28  	0.98  	FALSE	0.033 	0.99  	FALSE	-0.25 	0.99  	FALSE
Glyma.02G038601.Wm82.a4.v1	-0.064	1     	FALSE	0.22  	0.97  	FALSE	0.28  	0.99  	FALSE
Glyma.02G038700.Wm82.a4.v1	0.15  	1     	FALSE	-0.066	0.99  	FALSE	-0.22 	0.99  	FALSE
Glyma.02G038800.Wm82.a4.v1	0.13  	1     	FALSE	0.00044	1     	FALSE	-0.13 	0.99  	FALSE
Glyma.02G039000.Wm82.a4.v1	-0.23 	1     	FALSE	-0.25 	0.94  	FALSE	-0.022	1     	FALSE
Glyma.02G039100.Wm82.a4.v1	-0.13 	1     	FALSE	-0.29 	0.94  	FALSE	-0.16 	0.99  	FALSE
Glyma.02G039300.Wm82.a4.v1	0.045 	NA    	NA	0.0011	NA    	NA	-0.044	NA    	NA
Glyma.02G039400.Wm82.a4.v1	-0.11 	1     	FALSE	-0.27 	0.96  	FALSE	-0.16 	0.99  	FALSE
Glyma.02G039500.Wm82.a4.v1	0.026 	NA    	NA	0.024 	NA    	NA	0     	NA    	NA
Glyma.02G039700.Wm82.a4.v1	-0.12 	1     	FALSE	-0.013	1     	FALSE	0.11  	0.99  	FALSE
Glyma.02G039900.Wm82.a4.v1	-0.039	1     	FALSE	-0.14 	0.99  	FALSE	-0.098	0.99  	FALSE
Glyma.02G040000.Wm82.a4.v1	0.013 	1     	FALSE	-0.053	0.99  	FALSE	-0.066	1     	FALSE
Glyma.02G040500.Wm82.a4.v1	0.1   	1     	FALSE	0.14  	0.98  	FALSE	0.035 	1     	FALSE
Glyma.02G040600.Wm82.a4.v1	0.023 	1     	FALSE	-0.27 	0.95  	FALSE	-0.29 	0.99  	FALSE
Glyma.02G040700.Wm82.a4.v1	0.42  	0.58  	FALSE	-0.076	0.99  	FALSE	-0.49 	0.84  	FALSE
Glyma.02G040802.Wm82.a4.v1	0.11  	1     	FALSE	-0.17 	0.98  	FALSE	-0.28 	0.99  	FALSE
Glyma.02G040900.Wm82.a4.v1	-0.033	1     	FALSE	0.031 	0.99  	FALSE	0.064 	1     	FALSE
Glyma.02G041000.Wm82.a4.v1	-0.061	1     	FALSE	0.058 	0.99  	FALSE	0.12  	0.99  	FALSE
Glyma.02G041200.Wm82.a4.v1	0.12  	1     	FALSE	-0.34 	0.89  	FALSE	-0.46 	0.99  	FALSE
Glyma.02G041400.Wm82.a4.v1	-0.06 	1     	FALSE	0.016 	1     	FALSE	0.076 	0.99  	FALSE
Glyma.02G041500.Wm82.a4.v1	-0.11 	1     	FALSE	-0.029	0.99  	FALSE	0.084 	0.99  	FALSE
Glyma.02G041600.Wm82.a4.v1	0.063 	1     	FALSE	-0.21 	0.98  	FALSE	-0.27 	0.99  	FALSE
Glyma.02G041700.Wm82.a4.v1	-0.022	1     	FALSE	0.12  	0.99  	FALSE	0.14  	0.99  	FALSE
Glyma.02G041800.Wm82.a4.v1	-0.011	1     	FALSE	0.028 	0.99  	FALSE	0.039 	1     	FALSE
Glyma.02G041900.Wm82.a4.v1	0.31  	1     	FALSE	0.13  	0.99  	FALSE	-0.17 	0.99  	FALSE
Glyma.02G042000.Wm82.a4.v1	-0.015	1     	FALSE	-0.025	NA    	NA	-0.0094	1     	FALSE
Glyma.02G042100.Wm82.a4.v1	0.084 	1     	FALSE	-0.091	0.99  	FALSE	-0.17 	0.99  	FALSE
Glyma.02G042200.Wm82.a4.v1	-0.2  	1     	FALSE	-0.033	0.99  	FALSE	0.16  	0.99  	FALSE
Glyma.02G042300.Wm82.a4.v1	-0.23 	1     	FALSE	-0.19 	0.97  	FALSE	0.042 	1     	FALSE
Glyma.02G042400.Wm82.a4.v1	-0.16 	1     	FALSE	-0.062	NA    	NA	0.098 	0.99  	FALSE
Glyma.02G042500.Wm82.a4.v1	0.084 	1     	FALSE	-0.11 	0.99  	FALSE	-0.2  	0.99  	FALSE
Glyma.02G042600.Wm82.a4.v1	0.14  	1     	FALSE	-0.14 	0.99  	FALSE	-0.28 	0.99  	FALSE
Glyma.02G042700.Wm82.a4.v1	-0.13 	1     	FALSE	-0.024	0.99  	FALSE	0.11  	0.99  	FALSE
Glyma.02G042800.Wm82.a4.v1	-0.017	NA    	NA	0.017 	NA    	NA	0.033 	NA    	NA
Glyma.02G043100.Wm82.a4.v1	-0.03 	NA    	NA	0     	NA    	NA	0.026 	NA    	NA
Glyma.02G043200.Wm82.a4.v1	0.0042	1     	FALSE	-0.14 	0.98  	FALSE	-0.15 	0.99  	FALSE
Glyma.02G043300.Wm82.a4.v1	0.027 	1     	FALSE	0.13  	NA    	NA	0.098 	0.99  	FALSE
Glyma.02G043400.Wm82.a4.v1	0.051 	1     	FALSE	0.081 	0.99  	FALSE	0.031 	1     	FALSE
Glyma.02G043500.Wm82.a4.v1	0.25  	1     	FALSE	-0.1  	0.99  	FALSE	-0.35 	0.99  	FALSE
Glyma.02G043700.Wm82.a4.v1	0.018 	NA    	NA	-0.0094	NA    	NA	-0.028	NA    	NA
Glyma.02G043900.Wm82.a4.v1	0.18  	1     	FALSE	0.074 	0.99  	FALSE	-0.1  	0.99  	FALSE
Glyma.02G044000.Wm82.a4.v1	-0.038	1     	FALSE	-0.28 	0.88  	FALSE	-0.24 	0.99  	FALSE
Glyma.02G044200.Wm82.a4.v1	-0.2  	0.81  	FALSE	-0.083	NA    	NA	0.12  	0.99  	FALSE
Glyma.02G044500.Wm82.a4.v1	0     	NA    	NA	-0.032	NA    	NA	-0.031	NA    	NA
Glyma.02G044600.Wm82.a4.v1	-0.0016	1     	FALSE	-0.029	0.99  	FALSE	-0.028	1     	FALSE
