Geneid	cond_1v2_log2FC	cond_1v2_Padj	cond_1v2_Sig	cond_1v3_log2FC	cond_1v3_Padj	cond_1v3_Sig	cond_2v3_log2FC	cond_2v3_Padj	cond_2v3_Sig
Glyma.12G134000.Wm82.a4.v1	-0.26 	1     	FALSE	-0.14 	0.98  	FALSE	0.12  	0.99  	FALSE
Glyma.12G134300.Wm82.a4.v1	0.13  	1     	FALSE	-0.037	0.99  	FALSE	-0.16 	0.99  	FALSE
Glyma.12G134400.Wm82.a4.v1	-0.085	1     	FALSE	-0.095	0.99  	FALSE	-0.0095	1     	FALSE
Glyma.12G134500.Wm82.a4.v1	0.037 	1     	FALSE	0.04  	0.99  	FALSE	0.0031	1     	FALSE
Glyma.12G134700.Wm82.a4.v1	0.081 	1     	FALSE	0.29  	0.94  	FALSE	0.21  	0.99  	FALSE
Glyma.12G134800.Wm82.a4.v1	-0.062	1     	FALSE	-0.088	0.99  	FALSE	-0.026	1     	FALSE
Glyma.12G135000.Wm82.a4.v1	-0.38 	0.75  	FALSE	-0.4  	0.54  	FALSE	-0.026	1     	FALSE
Glyma.12G135100.Wm82.a4.v1	-0.21 	1     	FALSE	-0.35 	0.78  	FALSE	-0.14 	0.99  	FALSE
Glyma.12G135200.Wm82.a4.v1	-0.049	1     	FALSE	-0.18 	0.98  	FALSE	-0.13 	0.99  	FALSE
Glyma.12G135300.Wm82.a4.v1	-0.15 	1     	FALSE	-0.1  	0.99  	FALSE	0.048 	1     	FALSE
Glyma.12G135400.Wm82.a4.v1	-0.12 	NA    	NA	-0.051	NA    	NA	0.064 	NA    	NA
Glyma.12G135600.Wm82.a4.v1	-0.14 	1     	FALSE	-0.29 	0.84  	FALSE	-0.15 	0.99  	FALSE
Glyma.12G135700.Wm82.a4.v1	-0.2  	1     	FALSE	-0.17 	0.98  	FALSE	0.027 	1     	FALSE
Glyma.12G136000.Wm82.a4.v1	-0.22 	1     	FALSE	-0.17 	0.98  	FALSE	0.054 	1     	FALSE
Glyma.12G136100.Wm82.a4.v1	0.041 	1     	FALSE	-0.21 	0.98  	FALSE	-0.26 	0.99  	FALSE
Glyma.12G136300.Wm82.a4.v1	-0.15 	1     	FALSE	-0.045	0.99  	FALSE	0.11  	0.99  	FALSE
Glyma.12G136400.Wm82.a4.v1	-0.32 	1     	FALSE	0.057 	0.99  	FALSE	0.38  	0.99  	FALSE
Glyma.12G136600.Wm82.a4.v1	-0.17 	1     	FALSE	-0.0026	1     	FALSE	0.17  	0.99  	FALSE
Glyma.12G136700.Wm82.a4.v1	-0.0014	NA    	NA	-0.0046	NA    	NA	-0.0032	NA    	NA
Glyma.12G136800.Wm82.a4.v1	-0.0056	1     	FALSE	0.15  	0.98  	FALSE	0.15  	0.99  	FALSE
Glyma.12G136900.Wm82.a4.v1	0.17  	1     	FALSE	0.017 	1     	FALSE	-0.15 	0.99  	FALSE
Glyma.12G137001.Wm82.a4.v1	-0.074	NA    	NA	-0.042	NA    	NA	0.032 	NA    	NA
Glyma.12G137100.Wm82.a4.v1	0.054 	1     	FALSE	0.047 	0.99  	FALSE	-0.0065	1     	FALSE
Glyma.12G137400.Wm82.a4.v1	0.02  	1     	FALSE	-0.25 	0.97  	FALSE	-0.27 	0.99  	FALSE
Glyma.12G137500.Wm82.a4.v1	-0.055	1     	FALSE	-0.14 	0.99  	FALSE	-0.085	1     	FALSE
Glyma.12G137700.Wm82.a4.v1	0.085 	1     	FALSE	-0.13 	0.99  	FALSE	-0.21 	0.99  	FALSE
Glyma.12G137750.Wm82.a4.v1	-0.021	NA    	NA	0     	NA    	NA	0.017 	NA    	NA
Glyma.12G138600.Wm82.a4.v1	0.0081	NA    	NA	-0.0038	NA    	NA	-0.012	NA    	NA
Glyma.12G138702.Wm82.a4.v1	-0.033	NA    	NA	-0.037	NA    	NA	-0.0041	NA    	NA
Glyma.12G138900.Wm82.a4.v1	0.013 	NA    	NA	0.0099	NA    	NA	-0.0034	NA    	NA
Glyma.12G139100.Wm82.a4.v1	0.3   	1     	FALSE	0.22  	0.97  	FALSE	-0.082	1     	FALSE
Glyma.12G139200.Wm82.a4.v1	0.21  	1     	FALSE	-0.013	1     	FALSE	-0.22 	0.99  	FALSE
Glyma.12G139800.Wm82.a4.v1	-0.17 	1     	FALSE	-0.17 	0.98  	FALSE	-0.0027	1     	FALSE
Glyma.12G140100.Wm82.a4.v1	-0.19 	1     	FALSE	-0.19 	0.96  	FALSE	0.00047	1     	FALSE
Glyma.12G140200.Wm82.a4.v1	-0.028	1     	FALSE	0.095 	0.99  	FALSE	0.12  	0.99  	FALSE
Glyma.12G140250.Wm82.a4.v1	0.0081	NA    	NA	0.0058	NA    	NA	0     	NA    	NA
Glyma.12G140300.Wm82.a4.v1	-0.063	1     	FALSE	0.039 	0.99  	FALSE	0.1   	0.99  	FALSE
Glyma.12G140400.Wm82.a4.v1	-0.069	1     	FALSE	0.14  	0.99  	FALSE	0.21  	0.99  	FALSE
Glyma.12G140600.Wm82.a4.v1	0     	NA    	NA	-0.013	NA    	NA	-0.012	NA    	NA
Glyma.12G140800.Wm82.a4.v1	0.023 	NA    	NA	0.042 	NA    	NA	0.018 	NA    	NA
Glyma.12G141000.Wm82.a4.v1	-0.1  	1     	FALSE	0.024 	0.99  	FALSE	0.12  	0.99  	FALSE
Glyma.12G141050.Wm82.a4.v1	-0.23 	1     	FALSE	-0.059	0.99  	FALSE	0.17  	0.99  	FALSE
Glyma.12G141100.Wm82.a4.v1	0.013 	1     	FALSE	0.2   	0.97  	FALSE	0.19  	0.99  	FALSE
Glyma.12G141200.Wm82.a4.v1	-0.17 	1     	FALSE	-0.035	0.99  	FALSE	0.13  	0.99  	FALSE
Glyma.12G141301.Wm82.a4.v1	0.029 	1     	FALSE	-0.1  	0.99  	FALSE	-0.13 	0.99  	FALSE
Glyma.12G141400.Wm82.a4.v1	-0.11 	1     	FALSE	0.034 	0.99  	FALSE	0.15  	0.99  	FALSE
Glyma.12G141700.Wm82.a4.v1	0.45  	0.75  	FALSE	0.072 	0.99  	FALSE	-0.38 	0.99  	FALSE
Glyma.12G141900.Wm82.a4.v1	-0.19 	1     	FALSE	0.046 	0.99  	FALSE	0.23  	0.99  	FALSE
Glyma.12G142100.Wm82.a4.v1	-0.018	1     	FALSE	-0.036	NA    	NA	-0.018	1     	FALSE
Glyma.12G142200.Wm82.a4.v1	0.16  	1     	FALSE	0.32  	0.77  	FALSE	0.16  	0.99  	FALSE
Glyma.12G142300.Wm82.a4.v1	0.26  	1     	FALSE	0.015 	1     	FALSE	-0.25 	0.99  	FALSE
Glyma.12G142400.Wm82.a4.v1	-0.069	1     	FALSE	0.14  	0.99  	FALSE	0.21  	0.99  	FALSE
Glyma.12G142800.Wm82.a4.v1	0.025 	NA    	NA	-0.0071	NA    	NA	-0.032	NA    	NA
Glyma.12G142900.Wm82.a4.v1	0.19  	1     	FALSE	-0.33 	0.92  	FALSE	-0.52 	0.99  	FALSE
Glyma.12G143000.Wm82.a4.v1	-0.16 	1     	FALSE	0.025 	1     	FALSE	0.19  	0.99  	FALSE
Glyma.12G143200.Wm82.a4.v1	0.24  	1     	FALSE	-0.027	0.99  	FALSE	-0.26 	0.99  	FALSE
Glyma.12G143400.Wm82.a4.v1	0.024 	1     	FALSE	0.28  	0.95  	FALSE	0.26  	0.99  	FALSE
Glyma.12G143501.Wm82.a4.v1	-0.037	1     	FALSE	0.061 	0.99  	FALSE	0.098 	0.99  	FALSE
Glyma.12G143650.Wm82.a4.v1	0.04  	NA    	NA	0.00011	NA    	NA	-0.039	NA    	NA
Glyma.12G143700.Wm82.a4.v1	0.071 	1     	FALSE	0.059 	NA    	NA	-0.011	1     	FALSE
Glyma.12G143900.Wm82.a4.v1	-0.063	1     	FALSE	-0.24 	0.96  	FALSE	-0.18 	0.99  	FALSE
Glyma.12G144000.Wm82.a4.v1	0.18  	1     	FALSE	0.032 	NA    	NA	-0.15 	0.99  	FALSE
Glyma.12G144100.Wm82.a4.v1	0.16  	1     	FALSE	0.27  	0.93  	FALSE	0.11  	0.99  	FALSE
Glyma.12G144400.Wm82.a4.v1	-0.23 	1     	FALSE	-0.058	0.99  	FALSE	0.17  	0.99  	FALSE
Glyma.12G144600.Wm82.a4.v1	0.42  	0.81  	FALSE	0.2   	0.98  	FALSE	-0.22 	0.99  	FALSE
Glyma.12G145300.Wm82.a4.v1	-0.05 	NA    	NA	-0.013	NA    	NA	0.037 	NA    	NA
Glyma.12G145400.Wm82.a4.v1	-0.11 	1     	FALSE	0.26  	0.94  	FALSE	0.37  	0.99  	FALSE
Glyma.12G145900.Wm82.a4.v1	0.011 	NA    	NA	-0.068	NA    	NA	-0.079	NA    	NA
Glyma.12G146100.Wm82.a4.v1	0.063 	1     	FALSE	-0.12 	0.99  	FALSE	-0.18 	0.99  	FALSE
Glyma.12G146150.Wm82.a4.v1	-0.011	NA    	NA	-0.013	NA    	NA	-0.0023	NA    	NA
Glyma.12G146350.Wm82.a4.v1	0.013 	NA    	NA	-0.02 	NA    	NA	-0.034	NA    	NA
Glyma.12G146600.Wm82.a4.v1	0.025 	1     	FALSE	0.1   	0.98  	FALSE	0.079 	0.99  	FALSE
Glyma.12G146700.Wm82.a4.v1	-0.28 	1     	FALSE	-0.14 	0.99  	FALSE	0.13  	0.99  	FALSE
Glyma.12G146900.Wm82.a4.v1	-0.067	1     	FALSE	-0.063	0.99  	FALSE	0.0043	1     	FALSE
Glyma.12G147000.Wm82.a4.v1	-0.2  	1     	FALSE	-0.0055	1     	FALSE	0.19  	0.99  	FALSE
Glyma.12G147200.Wm82.a4.v1	0.07  	1     	FALSE	-0.042	0.99  	FALSE	-0.11 	0.99  	FALSE
Glyma.12G147300.Wm82.a4.v1	-0.047	1     	FALSE	-0.032	0.99  	FALSE	0.015 	1     	FALSE
Glyma.12G147400.Wm82.a4.v1	0.054 	1     	FALSE	0.15  	0.98  	FALSE	0.098 	0.99  	FALSE
Glyma.12G147500.Wm82.a4.v1	-0.26 	1     	FALSE	-0.27 	0.92  	FALSE	-0.0069	1     	FALSE
Glyma.12G147600.Wm82.a4.v1	0.15  	1     	FALSE	0.016 	1     	FALSE	-0.13 	0.99  	FALSE
Glyma.12G147700.Wm82.a4.v1	-0.041	1     	FALSE	0.0087	1     	FALSE	0.049 	1     	FALSE
Glyma.12G147900.Wm82.a4.v1	-0.033	1     	FALSE	0.07  	0.99  	FALSE	0.1   	0.99  	FALSE
Glyma.12G148200.Wm82.a4.v1	-0.036	1     	FALSE	0.15  	0.98  	FALSE	0.18  	0.99  	FALSE
Glyma.12G148300.Wm82.a4.v1	-0.19 	1     	FALSE	0.12  	0.98  	FALSE	0.31  	0.99  	FALSE
Glyma.12G148400.Wm82.a4.v1	-0.075	1     	FALSE	-0.34 	0.87  	FALSE	-0.27 	0.99  	FALSE
Glyma.12G148500.Wm82.a4.v1	0.28  	1     	FALSE	0.09  	0.99  	FALSE	-0.19 	0.99  	FALSE
Glyma.12G148600.Wm82.a4.v1	-0.24 	1     	FALSE	-0.13 	0.99  	FALSE	0.11  	0.99  	FALSE
Glyma.12G148700.Wm82.a4.v1	0.028 	NA    	NA	0.039 	NA    	NA	0.011 	NA    	NA
Glyma.12G148800.Wm82.a4.v1	-0.2  	1     	FALSE	-0.14 	NA    	NA	0.06  	1     	FALSE
Glyma.12G148900.Wm82.a4.v1	-0.034	NA    	NA	0.033 	NA    	NA	0.067 	NA    	NA
Glyma.12G149100.Wm82.a4.v1	-0.45 	0.64  	FALSE	-0.27 	0.91  	FALSE	0.17  	0.99  	FALSE
Glyma.12G149950.Wm82.a4.v1	-0.011	NA    	NA	-0.022	NA    	NA	-0.012	NA    	NA
Glyma.12G150300.Wm82.a4.v1	0.018 	1     	FALSE	0.063 	0.99  	FALSE	0.046 	1     	FALSE
Glyma.12G150400.Wm82.a4.v1	-0.1  	1     	FALSE	-0.065	0.99  	FALSE	0.039 	1     	FALSE
Glyma.12G150500.Wm82.a4.v1	-0.32 	1     	FALSE	-0.33 	0.88  	FALSE	-0.0021	1     	FALSE
Glyma.12G150700.Wm82.a4.v1	0.03  	1     	FALSE	-0.21 	0.97  	FALSE	-0.25 	0.99  	FALSE
Glyma.12G150800.Wm82.a4.v1	0.18  	1     	FALSE	0.24  	0.97  	FALSE	0.067 	1     	FALSE
Glyma.12G150900.Wm82.a4.v1	0.25  	0.73  	FALSE	0.15  	NA    	NA	-0.096	0.99  	FALSE
Glyma.12G151000.Wm82.a4.v1	-0.15 	1     	FALSE	0.0032	NA    	NA	0.16  	0.99  	FALSE
Glyma.12G151050.Wm82.a4.v1	0.01  	NA    	NA	0.02  	NA    	NA	0.0096	NA    	NA
Glyma.12G151100.Wm82.a4.v1	-0.076	1     	FALSE	-0.022	0.99  	FALSE	0.054 	1     	FALSE
Glyma.12G151200.Wm82.a4.v1	-0.039	1     	FALSE	0.043 	NA    	NA	0.081 	0.99  	FALSE
Glyma.12G151300.Wm82.a4.v1	-0.017	1     	FALSE	-0.022	NA    	NA	-0.0046	1     	FALSE
Glyma.12G151400.Wm82.a4.v1	0.13  	1     	FALSE	-0.12 	0.99  	FALSE	-0.26 	0.99  	FALSE
Glyma.12G151500.Wm82.a4.v1	0.068 	1     	FALSE	-0.0004	1     	FALSE	-0.069	1     	FALSE
Glyma.12G151533.Wm82.a4.v1	-0.29 	1     	FALSE	-0.25 	0.96  	FALSE	0.033 	1     	FALSE
Glyma.12G151566.Wm82.a4.v1	0.033 	NA    	NA	0.068 	NA    	NA	0.036 	NA    	NA
Glyma.12G151800.Wm82.a4.v1	-0.029	1     	FALSE	-0.29 	0.81  	FALSE	-0.26 	0.99  	FALSE
Glyma.12G152000.Wm82.a4.v1	-0.091	NA    	NA	0.046 	NA    	NA	0.14  	NA    	NA
Glyma.12G152100.Wm82.a4.v1	0.074 	1     	FALSE	0.087 	0.99  	FALSE	0.012 	1     	FALSE
Glyma.12G152300.Wm82.a4.v1	0.014 	1     	FALSE	0.14  	0.98  	FALSE	0.12  	0.99  	FALSE
Glyma.12G152351.Wm82.a4.v1	0.0076	NA    	NA	-0.014	NA    	NA	-0.021	NA    	NA
Glyma.12G152500.Wm82.a4.v1	-0.24 	1     	FALSE	-0.043	0.99  	FALSE	0.19  	0.99  	FALSE
Glyma.12G152600.Wm82.a4.v1	-0.021	1     	FALSE	0.09  	0.99  	FALSE	0.11  	0.99  	FALSE
Glyma.12G152700.Wm82.a4.v1	-0.12 	1     	FALSE	-0.13 	0.98  	FALSE	-0.016	1     	FALSE
Glyma.12G152900.Wm82.a4.v1	0.058 	1     	FALSE	0.091 	NA    	NA	0.033 	1     	FALSE
Glyma.12G153001.Wm82.a4.v1	0.024 	1     	FALSE	0.048 	0.99  	FALSE	0.023 	1     	FALSE
Glyma.12G153200.Wm82.a4.v1	0     	NA    	NA	-0.04 	NA    	NA	-0.04 	NA    	NA
Glyma.12G153600.Wm82.a4.v1	-0.0031	1     	FALSE	0.0036	1     	FALSE	0.0067	1     	FALSE
Glyma.12G154100.Wm82.a4.v1	-0.043	NA    	NA	0     	NA    	NA	0.041 	NA    	NA
Glyma.12G154300.Wm82.a4.v1	0.038 	1     	FALSE	-0.22 	0.97  	FALSE	-0.26 	0.99  	FALSE
Glyma.12G154400.Wm82.a4.v1	0.025 	1     	FALSE	-0.18 	0.98  	FALSE	-0.21 	0.99  	FALSE
Glyma.12G154500.Wm82.a4.v1	-0.23 	1     	FALSE	-0.34 	0.8   	FALSE	-0.11 	0.99  	FALSE
Glyma.12G154900.Wm82.a4.v1	0.025 	NA    	NA	-0.023	NA    	NA	-0.048	NA    	NA
Glyma.12G155200.Wm82.a4.v1	-0.1  	1     	FALSE	-0.14 	0.99  	FALSE	-0.036	1     	FALSE
Glyma.12G155300.Wm82.a4.v1	-0.19 	1     	FALSE	-0.11 	0.99  	FALSE	0.076 	1     	FALSE
Glyma.12G155400.Wm82.a4.v1	-0.011	1     	FALSE	0.24  	0.93  	FALSE	0.25  	0.99  	FALSE
Glyma.12G155500.Wm82.a4.v1	-0.14 	1     	FALSE	0.018 	0.99  	FALSE	0.16  	0.99  	FALSE
Glyma.12G155800.Wm82.a4.v1	-0.12 	1     	FALSE	0.018 	1     	FALSE	0.14  	0.99  	FALSE
Glyma.12G155900.Wm82.a4.v1	-0.19 	1     	FALSE	0.063 	0.99  	FALSE	0.26  	0.99  	FALSE
Glyma.12G156000.Wm82.a4.v1	-0.21 	1     	FALSE	-0.11 	0.99  	FALSE	0.1   	0.99  	FALSE
Glyma.12G156100.Wm82.a4.v1	-0.32 	1     	FALSE	-0.091	0.99  	FALSE	0.23  	0.99  	FALSE
Glyma.12G156200.Wm82.a4.v1	-0.058	1     	FALSE	-0.24 	0.95  	FALSE	-0.18 	0.99  	FALSE
Glyma.12G156300.Wm82.a4.v1	0.081 	1     	FALSE	0.0013	1     	FALSE	-0.079	0.99  	FALSE
Glyma.12G156400.Wm82.a4.v1	-0.0064	NA    	NA	0.051 	NA    	NA	0.058 	NA    	NA
Glyma.12G156532.Wm82.a4.v1	-0.21 	1     	FALSE	0.1   	0.99  	FALSE	0.31  	0.99  	FALSE
Glyma.12G156600.Wm82.a4.v1	0.044 	1     	FALSE	-0.11 	0.99  	FALSE	-0.16 	0.99  	FALSE
Glyma.12G156702.Wm82.a4.v1	-0.14 	1     	FALSE	0.11  	0.99  	FALSE	0.25  	0.99  	FALSE
Glyma.12G156800.Wm82.a4.v1	-0.026	1     	FALSE	-0.15 	0.97  	FALSE	-0.12 	0.99  	FALSE
Glyma.12G156900.Wm82.a4.v1	-0.18 	1     	FALSE	-0.26 	0.85  	FALSE	-0.077	0.99  	FALSE
Glyma.12G157032.Wm82.a4.v1	0.034 	NA    	NA	-0.013	NA    	NA	-0.047	NA    	NA
Glyma.12G157500.Wm82.a4.v1	-0.099	1     	FALSE	-0.048	0.99  	FALSE	0.051 	1     	FALSE
Glyma.12G157600.Wm82.a4.v1	0.031 	1     	FALSE	-0.051	0.99  	FALSE	-0.082	0.99  	FALSE
Glyma.12G157700.Wm82.a4.v1	-0.13 	1     	FALSE	-0.21 	0.89  	FALSE	-0.072	0.99  	FALSE
Glyma.12G158000.Wm82.a4.v1	0.038 	1     	FALSE	0.17  	0.98  	FALSE	0.13  	0.99  	FALSE
Glyma.12G158400.Wm82.a4.v1	0.0081	NA    	NA	0.0058	NA    	NA	0     	NA    	NA
Glyma.12G158420.Wm82.a4.v1	0.0081	NA    	NA	0.0058	NA    	NA	0     	NA    	NA
Glyma.12G158460.Wm82.a4.v1	-0.13 	1     	FALSE	0.06  	0.99  	FALSE	0.19  	0.99  	FALSE
Glyma.12G158500.Wm82.a4.v1	-0.074	1     	FALSE	0.15  	0.98  	FALSE	0.22  	0.99  	FALSE
Glyma.12G158600.Wm82.a4.v1	-0.37 	0.93  	FALSE	-0.056	0.99  	FALSE	0.32  	0.99  	FALSE
Glyma.12G158800.Wm82.a4.v1	-0.084	1     	FALSE	-0.095	0.99  	FALSE	-0.011	1     	FALSE
Glyma.12G158900.Wm82.a4.v1	0.4   	0.74  	FALSE	0.53  	0.26  	FALSE	0.12  	0.99  	FALSE
Glyma.12G158950.Wm82.a4.v1	0.027 	NA    	NA	0.025 	NA    	NA	0     	NA    	NA
Glyma.12G159000.Wm82.a4.v1	-0.21 	1     	FALSE	-0.088	0.99  	FALSE	0.13  	0.99  	FALSE
Glyma.12G159300.Wm82.a4.v1	0.18  	1     	FALSE	0.12  	0.98  	FALSE	-0.06 	1     	FALSE
Glyma.12G159600.Wm82.a4.v1	-0.14 	1     	FALSE	-0.072	0.99  	FALSE	0.073 	0.99  	FALSE
Glyma.12G159800.Wm82.a4.v1	-0.37 	0.93  	FALSE	-0.35 	0.83  	FALSE	0.022 	1     	FALSE
Glyma.12G160300.Wm82.a4.v1	-0.2  	1     	FALSE	-0.34 	0.88  	FALSE	-0.14 	0.99  	FALSE
Glyma.12G160400.Wm82.a4.v1	-0.011	NA    	NA	0     	NA    	NA	0.0073	NA    	NA
Glyma.12G160500.Wm82.a4.v1	-0.085	1     	FALSE	0.15  	0.98  	FALSE	0.23  	0.99  	FALSE
Glyma.12G160600.Wm82.a4.v1	-0.31 	1     	FALSE	-0.24 	0.97  	FALSE	0.073 	1     	FALSE
Glyma.12G160700.Wm82.a4.v1	0.12  	1     	FALSE	-0.036	0.99  	FALSE	-0.16 	0.99  	FALSE
Glyma.12G160800.Wm82.a4.v1	-0.094	1     	FALSE	0.15  	0.98  	FALSE	0.24  	0.99  	FALSE
Glyma.12G161000.Wm82.a4.v1	-0.24 	0.07  	FALSE	-0.071	0.43  	FALSE	0.17  	0.99  	FALSE
Glyma.12G161200.Wm82.a4.v1	-0.021	1     	FALSE	-0.068	0.99  	FALSE	-0.047	1     	FALSE
Glyma.12G161300.Wm82.a4.v1	0.18  	1     	FALSE	0.25  	0.72  	FALSE	0.066 	0.99  	FALSE
Glyma.12G161400.Wm82.a4.v1	0.0017	1     	FALSE	-0.033	0.99  	FALSE	-0.035	1     	FALSE
Glyma.12G161651.Wm82.a4.v1	-0.0015	NA    	NA	0.0058	NA    	NA	0.0073	NA    	NA
Glyma.12G161700.Wm82.a4.v1	0.015 	NA    	NA	0.01  	NA    	NA	-0.0048	NA    	NA
Glyma.12G162300.Wm82.a4.v1	0.1   	1     	FALSE	0.03  	0.99  	FALSE	-0.073	1     	FALSE
Glyma.12G162600.Wm82.a4.v1	0.038 	1     	FALSE	0.013 	NA    	NA	-0.025	1     	FALSE
Glyma.12G162700.Wm82.a4.v1	0.46  	0.73  	FALSE	0.22  	0.98  	FALSE	-0.25 	0.99  	FALSE
Glyma.12G162800.Wm82.a4.v1	-0.049	1     	FALSE	-0.19 	0.97  	FALSE	-0.14 	0.99  	FALSE
Glyma.12G162900.Wm82.a4.v1	0.022 	NA    	NA	0.061 	NA    	NA	0.039 	NA    	NA
Glyma.12G162945.Wm82.a4.v1	0.0064	NA    	NA	0.034 	NA    	NA	0.028 	NA    	NA
Glyma.12G162963.Wm82.a4.v1	-0.11 	1     	FALSE	0.11  	0.99  	FALSE	0.22  	0.99  	FALSE
Glyma.12G162972.Wm82.a4.v1	0.0081	NA    	NA	0.0058	NA    	NA	0     	NA    	NA
Glyma.12G162990.Wm82.a4.v1	-0.15 	1     	FALSE	0.16  	0.98  	FALSE	0.31  	0.99  	FALSE
Glyma.12G162999.Wm82.a4.v1	0.35  	0.67  	FALSE	0.14  	0.99  	FALSE	-0.21 	0.99  	FALSE
Glyma.12G163008.Wm82.a4.v1	0.011 	1     	FALSE	-0.14 	0.98  	FALSE	-0.15 	0.99  	FALSE
Glyma.12G163035.Wm82.a4.v1	-0.48 	0.66  	FALSE	-0.27 	0.96  	FALSE	0.21  	0.99  	FALSE
Glyma.12G163053.Wm82.a4.v1	-0.077	1     	FALSE	0.019 	0.99  	FALSE	0.096 	0.99  	FALSE
Glyma.12G163062.Wm82.a4.v1	-0.042	1     	FALSE	-0.04 	0.99  	FALSE	0.0023	1     	FALSE
Glyma.12G163071.Wm82.a4.v1	-0.011	1     	FALSE	0.22  	0.97  	FALSE	0.23  	0.99  	FALSE
Glyma.12G163080.Wm82.a4.v1	-0.19 	1     	FALSE	-0.095	0.99  	FALSE	0.1   	0.99  	FALSE
Glyma.12G163089.Wm82.a4.v1	-0.021	1     	FALSE	0.073 	0.99  	FALSE	0.094 	0.99  	FALSE
Glyma.12G163432.Wm82.a4.v1	0     	NA    	NA	-0.013	NA    	NA	-0.012	NA    	NA
Glyma.12G163500.Wm82.a4.v1	-0.061	1     	FALSE	-0.00048	1     	FALSE	0.06  	1     	FALSE
Glyma.12G163601.Wm82.a4.v1	-0.01 	1     	FALSE	-0.048	0.99  	FALSE	-0.037	1     	FALSE
Glyma.12G163700.Wm82.a4.v1	0.033 	1     	FALSE	0.22  	0.94  	FALSE	0.19  	0.99  	FALSE
Glyma.12G163800.Wm82.a4.v1	0.00091	1     	FALSE	0.09  	0.99  	FALSE	0.09  	0.99  	FALSE
Glyma.12G163850.Wm82.a4.v1	-0.1  	1     	FALSE	-0.33 	0.89  	FALSE	-0.22 	0.99  	FALSE
Glyma.12G163900.Wm82.a4.v1	-0.11 	1     	FALSE	-0.18 	0.98  	FALSE	-0.075	1     	FALSE
Glyma.12G164000.Wm82.a4.v1	-0.15 	1     	FALSE	-0.31 	0.9   	FALSE	-0.15 	0.99  	FALSE
Glyma.12G164100.Wm82.a4.v1	-0.082	1     	FALSE	0.068 	0.99  	FALSE	0.15  	0.99  	FALSE
Glyma.12G164200.Wm82.a4.v1	-0.065	1     	FALSE	0.06  	0.99  	FALSE	0.12  	0.99  	FALSE
Glyma.12G164300.Wm82.a4.v1	-0.059	1     	FALSE	0.04  	0.99  	FALSE	0.099 	0.99  	FALSE
Glyma.12G164400.Wm82.a4.v1	0.06  	1     	FALSE	0.00088	1     	FALSE	-0.06 	1     	FALSE
Glyma.12G164700.Wm82.a4.v1	0.16  	1     	FALSE	0.31  	0.89  	FALSE	0.15  	0.99  	FALSE
Glyma.12G164800.Wm82.a4.v1	-0.22 	1     	FALSE	-0.15 	0.97  	FALSE	0.062 	0.99  	FALSE
Glyma.12G164900.Wm82.a4.v1	0.0081	NA    	NA	0.0058	NA    	NA	0     	NA    	NA
Glyma.12G165000.Wm82.a4.v1	-0.19 	1     	FALSE	-0.26 	0.61  	FALSE	-0.069	0.99  	FALSE
Glyma.12G165100.Wm82.a4.v1	-0.084	1     	FALSE	-0.15 	0.98  	FALSE	-0.069	1     	FALSE
Glyma.12G165200.Wm82.a4.v1	0.3   	1     	FALSE	0.13  	0.99  	FALSE	-0.17 	0.99  	FALSE
Glyma.12G165301.Wm82.a4.v1	0.031 	1     	FALSE	-0.12 	0.98  	FALSE	-0.15 	0.99  	FALSE
Glyma.12G165400.Wm82.a4.v1	-0.1  	1     	FALSE	0.015 	1     	FALSE	0.12  	0.99  	FALSE
Glyma.12G165600.Wm82.a4.v1	-0.082	1     	FALSE	-0.14 	0.98  	FALSE	-0.055	1     	FALSE
Glyma.12G165700.Wm82.a4.v1	-0.11 	1     	FALSE	0.1   	0.99  	FALSE	0.21  	0.99  	FALSE
Glyma.12G165900.Wm82.a4.v1	-0.13 	1     	FALSE	-0.057	0.99  	FALSE	0.07  	0.99  	FALSE
Glyma.12G166100.Wm82.a4.v1	0.0065	1     	FALSE	0.17  	0.98  	FALSE	0.16  	0.99  	FALSE
Glyma.12G166200.Wm82.a4.v1	0.069 	1     	FALSE	0.17  	0.96  	FALSE	0.1   	0.99  	FALSE
Glyma.12G166300.Wm82.a4.v1	-0.051	1     	FALSE	-0.025	0.99  	FALSE	0.027 	1     	FALSE
Glyma.12G166400.Wm82.a4.v1	-0.17 	1     	FALSE	-0.34 	0.87  	FALSE	-0.16 	0.99  	FALSE
Glyma.12G166500.Wm82.a4.v1	0.16  	1     	FALSE	0.14  	0.98  	FALSE	-0.016	1     	FALSE
Glyma.12G166600.Wm82.a4.v1	-0.2  	1     	FALSE	-0.37 	0.83  	FALSE	-0.18 	0.99  	FALSE
Glyma.12G166900.Wm82.a4.v1	-0.045	1     	FALSE	0.18  	0.98  	FALSE	0.23  	0.99  	FALSE
Glyma.12G167000.Wm82.a4.v1	-0.53 	0.36  	FALSE	-0.26 	0.95  	FALSE	0.27  	0.99  	FALSE
Glyma.12G167200.Wm82.a4.v1	0.00034	1     	FALSE	0.029 	NA    	NA	0.029 	1     	FALSE
Glyma.12G167300.Wm82.a4.v1	0.053 	1     	FALSE	0.22  	0.96  	FALSE	0.17  	0.99  	FALSE
Glyma.12G167400.Wm82.a4.v1	0.13  	1     	FALSE	0.15  	0.98  	FALSE	0.022 	1     	FALSE
