Geneid	NPYCT	NPYCU	NSNCH	NPYCW	NPYCX	NPYCZ	NPYCY	NPYGA	NPYGB
Glyma.01G008500.Wm82.a4.v1	526.06	517.98	485.60	521.54	563.82	593.09	625.67	500.81	477.07
Glyma.01G008600.Wm82.a4.v1	37.22	34.15	39.49	39.59	38.22	38.43	43.19	32.17	27.27
Glyma.01G008700.Wm82.a4.v1	0.86	0.88	0.90	1.35	1.45	1.60	1.92	1.00	1.28
Glyma.01G008800.Wm82.a4.v1	35.04	33.90	36.84	31.87	31.48	31.97	26.70	33.70	64.95
Glyma.01G008900.Wm82.a4.v1	8.21	7.56	7.74	7.50	9.06	6.98	7.51	5.72	6.13
Glyma.01G009000.Wm82.a4.v1	1.40	2.63	2.06	0.89	2.25	3.17	4.17	1.46	2.04
Glyma.01G009100.Wm82.a4.v1	0.00	0.08	0.08	0.00	0.00	0.00	0.27	0.00	0.00
Glyma.01G009200.Wm82.a4.v1	37.59	37.85	35.66	31.77	30.01	28.69	25.63	30.33	38.48
Glyma.01G009300.Wm82.a4.v1	28.82	27.43	25.83	28.36	31.37	25.11	26.47	29.33	20.72
Glyma.01G009400.Wm82.a4.v1	4.01	4.38	3.75	5.62	5.10	5.84	8.19	4.07	2.11
Glyma.01G009500.Wm82.a4.v1	0.48	0.00	0.36	0.17	0.29	0.15	0.16	0.07	0.66
Glyma.01G009600.Wm82.a4.v1	8.93	7.27	6.17	7.28	6.19	6.23	6.57	7.24	9.14
Glyma.01G009700.Wm82.a4.v1	19.78	18.61	19.78	22.46	20.22	13.08	19.39	22.08	12.47
Glyma.01G009800.Wm82.a4.v1	8.64	9.62	7.88	9.25	7.76	7.64	9.43	8.66	7.93
Glyma.01G009900.Wm82.a4.v1	8.26	8.64	6.35	7.85	7.98	9.39	7.05	7.16	3.88
Glyma.01G010000.Wm82.a4.v1	1.25	1.07	1.70	1.75	1.50	1.23	1.46	1.30	1.63
Glyma.01G010100.Wm82.a4.v1	7.76	7.23	6.30	7.67	8.05	5.93	7.61	5.74	3.75
Glyma.01G010200.Wm82.a4.v1	0.36	0.19	0.15	0.12	0.25	0.25	0.08	0.17	0.05
Glyma.01G010300.Wm82.a4.v1	31.08	33.43	22.46	27.73	28.68	26.06	25.82	27.62	26.47
Glyma.01G010400.Wm82.a4.v1	22.77	24.70	24.25	26.32	24.82	22.60	25.70	21.76	13.88
Glyma.01G010500.Wm82.a4.v1	7.77	8.27	6.27	7.91	7.49	8.75	9.36	5.84	8.53
Glyma.01G010600.Wm82.a4.v1	25.55	29.25	22.90	22.95	25.69	26.79	25.69	24.43	30.10
Glyma.01G010700.Wm82.a4.v1	5.88	5.15	5.15	7.32	6.42	8.20	9.95	2.97	1.63
Glyma.01G010800.Wm82.a4.v1	3.49	3.98	2.69	4.11	3.53	3.59	4.43	2.89	3.32
Glyma.01G010900.Wm82.a4.v1	16.95	16.92	17.28	22.26	19.03	19.46	20.35	17.94	15.05
Glyma.01G011000.Wm82.a4.v1	8.31	5.17	9.19	5.50	8.68	7.10	8.63	7.46	6.10
Glyma.01G011100.Wm82.a4.v1	36.50	35.24	31.75	35.07	36.02	30.24	30.71	36.05	38.32
Glyma.01G011200.Wm82.a4.v1	15.00	14.12	14.45	15.42	13.55	14.39	14.43	12.32	11.16
Glyma.01G011300.Wm82.a4.v1	0.70	0.36	0.46	0.50	0.27	0.70	0.34	0.83	0.16
Glyma.01G011400.Wm82.a4.v1	5.35	3.77	3.41	3.75	3.85	4.19	4.99	5.08	4.32
Glyma.01G011500.Wm82.a4.v1	1.71	1.42	1.51	3.56	2.10	0.74	2.33	1.18	1.00
Glyma.01G011600.Wm82.a4.v1	0.40	0.27	0.55	1.01	0.69	0.43	0.63	0.61	0.65
Glyma.01G011700.Wm82.a4.v1	1.79	1.21	1.37	1.98	1.63	1.56	1.79	1.43	1.17
Glyma.01G011800.Wm82.a4.v1	0.95	0.91	0.42	1.40	0.67	0.34	1.08	0.66	0.64
Glyma.01G011900.Wm82.a4.v1	14.11	11.99	11.80	10.90	12.03	14.54	14.76	10.36	11.06
Glyma.01G012000.Wm82.a4.v1	0.10	0.00	0.06	0.00	0.07	0.03	0.07	0.00	0.00
Glyma.01G012100.Wm82.a4.v1	0.03	0.00	0.02	0.00	0.00	0.00	0.03	0.00	0.00
Glyma.01G012200.Wm82.a4.v1	1.85	1.84	1.29	0.95	1.41	2.65	2.62	0.46	1.21
Glyma.01G012300.Wm82.a4.v1	10.68	11.22	6.51	11.82	10.40	12.26	12.89	8.21	14.45
Glyma.01G012400.Wm82.a4.v1	7.12	6.85	6.68	6.33	6.38	7.94	6.98	4.66	7.01
Glyma.01G012500.Wm82.a4.v1	39.65	36.97	39.39	38.15	38.99	39.84	42.24	34.21	23.21
Glyma.01G012700.Wm82.a4.v1	8.12	8.69	6.77	7.35	6.89	17.75	30.69	8.57	7.49
Glyma.01G012800.Wm82.a4.v1	0.18	0.53	0.29	0.62	0.46	0.23	0.32	0.41	0.49
Glyma.01G013000.Wm82.a4.v1	4.56	4.93	5.75	5.15	4.70	7.00	6.51	6.94	11.31
Glyma.01G013100.Wm82.a4.v1	1.00	1.09	0.88	0.51	1.24	0.34	0.59	0.75	0.26
Glyma.01G013200.Wm82.a4.v1	1.55	1.84	1.69	1.74	1.73	1.57	1.01	1.30	1.67
